|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |12345|    0|      0 |
|1+  |     0|1110110000010000|  0  |  12345|   0   |12345|    0|  12345 |
|2   |     0|1110110000010000|  0  |  12345|   0   |12345|12345|  12345 |
|2+  |     0|0101101110100000|  0  |     -1|   0   |12345|12345|  12345 |
|3   |     0|0101101110100000|  0  |     -1|   0   |23456|12345|  12345 |
|3+  |     0|1110000111110000|  0  |  11111|   0   |23456|12345|  11111 |
|4   |     0|1110000111110000|  0  |      0|   0   |11111|12345|  11111 |
|4+  |     0|0000001111101011|  0  | -11111|   0   |11111|12345|  11111 |
|5   |     0|0000001111101011|  0  | -11111|   0   | 1003|12345|  11111 |
|5+  |     0|1110001100001000|  0  |  11111|   1   | 1003|12345|  11111 |
|6   |     0|1110001100001000|  0  |  11111|   1   | 1003|12345|  11111 |
|6+  |     0|0000001111101100|  0  | -11111|   0   | 1003|12345|  11111 |
|7   |     0|0000001111101100|  0  | -11111|   0   | 1004|12345|  11111 |
|7+  |     0|1110001110011000|  0  |  11110|   1   | 1004|12345|  11110 |
|8   |     0|1110001110011000|  0  |  11109|   1   | 1004|12345|  11110 |
|8+  |     0|0000001111101000|  0  | -11110|   0   | 1004|12345|  11110 |
|9   |     0|0000001111101000|  0  | -11110|   0   | 1000|12345|  11110 |
|9+  | 11111|1111010011110000|  0  |     -1|   0   | 1000|12345|     -1 |
|10  | 11111|1111010011110000|  0  | -11112|   0   |32767|12346|     -1 |
|10+ | 11111|0000000000001110|  0  |     -1|   0   |32767|12346|     -1 |
|11  | 11111|0000000000001110|  0  |     14|   0   |   14|12346|     -1 |
|11+ | 11111|1110001100000100|  0  |     -1|   0   |   14|12346|     -1 |
|12  | 11111|1110001100000100|  0  |     -1|   0   |   14|12346|     -1 |
|12+ | 11111|0000001111100111|  0  |      1|   0   |   14|12346|     -1 |
|13  | 11111|0000001111100111|  0  |      1|   0   |  999|12346|     -1 |
|13+ | 11111|1111110111100000|  0  |  11112|   0   |  999|12346|     -1 |
|14  | 11111|1111110111100000|  0  |  11112|   0   |11112|  999|     -1 |
|14+ | 11111|1110001100101000|  0  |     -1|   1   |11112|  999|     -1 |
|15  | 11111|1110001100101000|  0  |     -1|   1   |32767|  999|     -1 |
|15+ | 11111|0000000000010101|  0  |     -1|   0   |32767|  999|     -1 |
|16  | 11111|0000000000010101|  0  |     21|   0   |   21|  999|     -1 |
|16+ | 11111|1110011111000010|  0  |      0|   0   |   21|  999|     -1 |
|17  | 11111|1110011111000010|  0  |      0|   0   |   21| 1000|     -1 |
|17+ | 11111|0000000000000010|  0  |     21|   0   |   21| 1000|     -1 |
|18  | 11111|0000000000000010|  0  |      2|   0   |    2| 1000|     -1 |
|18+ | 11111|1110000010111000|  0  |      1|   1   |    2| 1000|      1 |
|19  | 11111|1110000010111000|  0  |      2|   1   |    1| 1000|      1 |
|19+ | 11111|1111110111001000|  0  |  11112|   1   |    1| 1000|      1 |
|20  | 11111|1111110111001000|  0  |  11112|   1   |    1|    1|      1 |
|20+ | 11111|1111110010101000|  0  |  11110|   1   |    1|    1|      1 |
